epoch,lr,train_loss,val_loss,val_mean_macro_f1,train_acc_object_type,train_f1_object_type,val_acc_object_type,val_f1_object_type,train_acc_integrity,train_f1_integrity,val_acc_integrity,val_f1_integrity,train_acc_material_group,train_f1_material_group,val_acc_material_group,val_f1_material_group,train_acc_part_zone,train_f1_part_zone,val_acc_part_zone,val_f1_part_zone
1,0.00025606601717798207,0.2934884529661488,0.38908414223364424,0.15993987250506697,0.17925591882750846,0.1502480262835834,0.38738738738738737,0.13810019794301584,0.5862457722660653,0.452823465142665,0.34684684684684686,0.3281853281853282,0.2254791431792559,0.11383860280504327,0.018018018018018018,0.00510204081632653,0.25,0.19549494908246978,0.3560606060606061,0.16837192307559729
2,0.00014999999999999996,0.248339994936376,0.21906150824257306,0.24388794966038924,0.237880496054115,0.18446756433757647,0.15765765765765766,0.13442098954620177,0.588500563697858,0.4651268063565909,0.8198198198198198,0.5913107511045655,0.1386696730552424,0.10049920970857275,0.5,0.16376068376068373,0.22580645161290322,0.18717063374395748,0.08333333333333333,0.08605937423010594
3,4.393398282201787e-05,0.2263580839241947,0.2385982538440398,0.2533304089631402,0.21758737316798196,0.2106225655381885,0.26576576576576577,0.22387777835584174,0.6414881623449831,0.5072222222222222,0.5,0.41410875199125036,0.24126268320180383,0.14798499787879488,0.27927927927927926,0.1267813136183435,0.21370967741935484,0.19298048685420724,0.3484848484848485,0.24855379188712523
4,0.0,0.20268844712424922,0.19651615247130394,0.2601257991888177,0.30777903043968435,0.2771691490872454,0.28378378378378377,0.2226452880861103,0.6527621195039459,0.5316918308854788,0.6711711711711712,0.5385929447940097,0.2547914317925592,0.17484400073228235,0.2927927927927928,0.12898100381130517,0.26814516129032256,0.2103005847681426,0.21212121212121213,0.1502839600638456
