epoch,lr,train_loss,val_loss,val_mean_macro_f1,train_acc_object_type,train_f1_object_type,val_acc_object_type,val_f1_object_type,train_acc_integrity,train_f1_integrity,val_acc_integrity,val_f1_integrity,train_acc_material_group,train_f1_material_group,val_acc_material_group,val_f1_material_group,train_acc_part_zone,train_f1_part_zone,val_acc_part_zone,val_f1_part_zone
1,0.00025606601717798207,0.29393059659648585,0.37275009815182003,0.08548484105772933,0.19052987598647125,0.15242319661460152,0.018018018018018018,0.005056890012642225,0.5050732807215332,0.4035152486240317,0.23873873873873874,0.23686512214470232,0.24464487034949267,0.11500969005475652,0.018018018018018018,0.0058997050147492625,0.21370967741935484,0.1657825320144161,0.30303030303030304,0.09411764705882353
2,0.00014999999999999996,0.26318175016759754,0.21546678564378194,0.13273469633238721,0.2040586245772266,0.16126874947156158,0.34684684684684686,0.19940786175399486,0.5377677564825254,0.4234269370774831,0.13963963963963963,0.13667922223353354,0.19165727170236754,0.11137320452723236,0.22972972972972974,0.08570214874862828,0.2157258064516129,0.1695430259969937,0.11363636363636363,0.10914955259339226
3,4.393398282201787e-05,0.24862791154835676,0.20856059741761004,0.2691495150650114,0.2897406989853439,0.23896605119375322,0.27927927927927926,0.2051133796627155,0.6189402480270575,0.49381719703927823,0.7432432432432432,0.5696357514539332,0.133032694475761,0.09449161873015716,0.20270270270270271,0.0944782608695652,0.15120967741935484,0.14612115232602943,0.3106060606060606,0.20737066827383177
4,0.0,0.21671041685181694,0.20018785633146763,0.2699635956446786,0.23337091319052988,0.2063588417575963,0.28378378378378377,0.2349280736086792,0.6685456595264938,0.5288393437883934,0.7207207207207207,0.5448412698412698,0.21307779030439683,0.13290721270285813,0.16216216216216217,0.07759259259259259,0.2963709677419355,0.2328342871920455,0.3181818181818182,0.22249244653617292
