epoch,lr,train_loss,val_loss,val_mean_macro_f1,train_acc_object_type,train_f1_object_type,val_acc_object_type,val_f1_object_type,train_acc_integrity,train_f1_integrity,val_acc_integrity,val_f1_integrity,train_acc_material_group,train_f1_material_group,val_acc_material_group,val_f1_material_group,train_acc_part_zone,train_f1_part_zone,val_acc_part_zone,val_f1_part_zone
1,0.00025606601717798207,1.1304769209913306,0.9979043879679271,0.2811310573895821,0.39571589627959414,0.22277743900034278,0.4099099099099099,0.19671175344327096,0.9041713641488163,0.47483718176435763,0.9009009009009009,0.47393364928909953,0.5659526493799324,0.16832624110195807,0.6126126126126126,0.26645419288969613,0.3407258064516129,0.2040817774657547,0.36363636363636365,0.18742463393626183
2,0.00014999999999999996,1.014295060355384,0.9304492409740176,0.31127244263030873,0.43968432919954903,0.24131921575868803,0.5315315315315315,0.23265355417529335,0.9052987598647125,0.4751479289940828,0.9009009009009009,0.47393364928909953,0.6347237880496054,0.197379173431805,0.5990990990990991,0.2552912644937185,0.3850806451612903,0.23271428862251695,0.3787878787878788,0.28321130256312343
3,4.393398282201787e-05,0.9367554526071291,0.8688529495682035,0.36922934365710824,0.4701240135287486,0.2560679989688692,0.5,0.33491780820973366,0.90304396843292,0.48585948452496497,0.9009009009009009,0.47393364928909953,0.644870349492672,0.2081188095753351,0.6666666666666666,0.3057385947052486,0.42943548387096775,0.26439481539337595,0.4621212121212121,0.36232732242435095
4,0.0,0.8647562984947685,0.8410274492842811,0.37570471217068374,0.5186020293122886,0.31723915516161744,0.581081081081081,0.3328221486116223,0.9075535512965051,0.509772996872641,0.9009009009009009,0.47393364928909953,0.6832018038331454,0.23632499864092202,0.6666666666666666,0.2929330793408463,0.5120967741935484,0.3272437500299665,0.5,0.4031299714411669
