image_file,artifact_id,width,height,aspect_ratio,pixels
БП11-Р01-Г01-1065_orig.jpg,БП11-Р01-Г01-1065,1080,813,1.3284132841328413,878040
БП11-Р01-Г01-1251_orig.jpg,БП11-Р01-Г01-1251,1080,1291,0.836560805577072,1394280
БП11-Р01-Г03-3339_orig.jpg,БП11-Р01-Г03-3339,1080,610,1.7704918032786885,658800
БП11-Р01-Г01-0944_orig.jpg,БП11-Р01-Г01-0944,1080,933,1.157556270096463,1007640
БП11-Р01-Г03-3244_orig.jpg,БП11-Р01-Г03-3244,1080,959,1.1261730969760166,1035720
БП11-Р01-тех-0443_orig.jpg,БП11-Р01-тех-0443,1080,1042,1.036468330134357,1125360
БП11-Р01-Г01-1315_orig.jpg,БП11-Р01-Г01-1315,1080,866,1.2471131639722863,935280
БП11-Р01-Г01-1055_orig.jpg,БП11-Р01-Г01-1055,1080,840,1.2857142857142858,907200
БП11-Р01-Г01-1397_orig.jpg,БП11-Р01-Г01-1397,1080,633,1.7061611374407584,683640
БП11-Р01-тех-0381_orig.jpg,БП11-Р01-тех-0381,1080,427,2.529274004683841,461160
БП11-Р01-тех-0421_orig.jpg,БП11-Р01-тех-0421,1080,770,1.4025974025974026,831600
БП11-Р01-Г01-1405_orig.jpg,БП11-Р01-Г01-1405,1080,1171,0.9222886421861657,1264680
БП11-Р01-Г01-1192_orig.jpg,БП11-Р01-Г01-1192,1080,651,1.6589861751152073,703080
БП11-Р01-Г01-1197_orig.jpg,БП11-Р01-Г01-1197,1080,848,1.2735849056603774,915840
БП11-Р01-Г01-1396_orig.jpg,БП11-Р01-Г01-1396,1080,1256,0.8598726114649682,1356480
БП11-Р01-Г01-1248_orig.jpg,БП11-Р01-Г01-1248,1080,1282,0.8424336973478939,1384560
БП11-Р01-тех-0060_orig.jpg,БП11-Р01-тех-0060,1080,797,1.355081555834379,860760
БП11-Р01-Г01-1289_orig.jpg,БП11-Р01-Г01-1289,1080,1101,0.9809264305177112,1189080
БП11-Р01-Г03-6484_orig.jpg,БП11-Р01-Г03-6484,1080,1491,0.7243460764587525,1610280
БП11-Р01-тех-0394_orig.jpg,БП11-Р01-тех-0394,1080,440,2.4545454545454546,475200
БП11-Р01-Г03-6483_orig.jpg,БП11-Р01-Г03-6483,1080,683,1.581259150805271,737640
Кроп-2013-151_orig.jpg,Кроп-2013-151,4421,4894,0.903351042092358,21636374
Кроп-2013-152_orig.jpg,Кроп-2013-152,3880,5592,0.6938483547925608,21696960
Кроп-2013-155_orig.jpg,Кроп-2013-155,4843,2210,2.191402714932127,10703030
Кроп-2013-158_orig.jpg,Кроп-2013-158,1747,2357,0.7411964361476453,4117679
Кроп-2013-159_orig.jpg,Кроп-2013-159,4727,9687,0.4879735728295654,45790449
Кроп-2013-163_orig.jpg,Кроп-2013-163,3238,8549,0.37875774944437945,27681662
Кроп-2013-186_orig.jpg,Кроп-2013-186,4357,7254,0.6006341328921974,31605678
Кроп-2013-203_orig.jpg,Кроп-2013-203,15292,3547,4.311248942768537,54240724
Кроп-2013-204_orig.jpg,Кроп-2013-204,10253,2825,3.6293805309734513,28964725
Кроп-2013-218_orig.jpg,Кроп-2013-218,12499,3147,3.9717190975532253,39334353
Кроп-2013-240_orig.jpg,Кроп-2013-240,11461,11166,1.0264194877306108,127973526
Кроп-2013-243_orig.jpg,Кроп-2013-243,4421,9200,0.48054347826086957,40673200
Кроп-2013-248_orig.jpg,Кроп-2013-248,5822,6044,0.9632693580410324,35188168
Кроп-2013-252_orig.jpg,Кроп-2013-252,4352,10732,0.4055162131941856,46705664
Кроп-2013-262_orig.jpg,Кроп-2013-262,4762,11893,0.4004035987555705,56634466
Кроп-2013-263_orig.jpg,Кроп-2013-263,4521,10677,0.4234335487496488,48270717
Кроп-2013-266_orig.jpg,Кроп-2013-266,5494,10530,0.5217473884140551,57851820
Кроп-2013-267_orig.jpg,Кроп-2013-267,3669,14212,0.25816211652124965,52143828
Кроп-2013-268_orig.jpg,Кроп-2013-268,4598,9607,0.47860934735089,44172986
Кроп-2013-285_orig.jpg,Кроп-2013-285,3911,8529,0.4585531715324188,33356919
Кроп-2013-317_orig.jpg,Кроп-2013-317,4028,8566,0.4702311463927154,34503848
Кроп-2013-373_orig.jpg,Кроп-2013-373,3846,9353,0.4112049609750882,35971638
Кроп-2013-391_orig.jpg,Кроп-2013-391,8002,6671,1.1995203117973317,53381342
Кроп-2013-392_orig.jpg,Кроп-2013-392,7517,5615,1.3387355298308103,42207955
Кроп-2013-398_orig.jpg,Кроп-2013-398,7710,7430,1.0376850605652759,57285300
Кроп-2013-399_orig.jpg,Кроп-2013-399,4381,9390,0.4665601703940362,41137590
Кроп-2013-400_orig.jpg,Кроп-2013-400,4620,8786,0.5258365581607102,40591320
Кроп-2013-401_orig.jpg,Кроп-2013-401,4995,6506,0.7677528435290502,32497470
Кроп-2013-403_orig.jpg,Кроп-2013-403,3714,9719,0.3821380800493878,36096366
Кроп-2013-414_orig.jpg,Кроп-2013-414,5941,9834,0.604128533658735,58423794
Кроп-2013-415_orig.jpg,Кроп-2013-415,7892,2760,2.8594202898550725,21781920
Кроп-2013-421_orig.jpg,Кроп-2013-421,6611,3382,1.9547604967474868,22358402
Кроп-2013-422_orig.jpg,Кроп-2013-422,7351,4454,1.6504265828468792,32741354
Кроп-2013-430_orig.jpg,Кроп-2013-430,5397,8027,0.672355799177775,43321719
Кроп-2013-478_orig.jpg,Кроп-2013-478,4573,10103,0.45263783034742155,46201019
Кроп-2013-481_orig.jpg,Кроп-2013-481,3894,11903,0.3271444173737713,46350282
Кроп-2013-482_orig.jpg,Кроп-2013-482,3778,10963,0.3446137006293898,41418214
Кроп-2013-484_orig.jpg,Кроп-2013-484,3744,10298,0.3635657409205671,38555712
Кроп-2013-Тр1-023_orig.jpg,Кроп-2013-Тр1-023,5297,7063,0.7499646042758035,37412711
Кроп-2013-Тр2-032_orig.jpg,Кроп-2013-Тр2-032,4223,9150,0.46153005464480873,38640450
Кроп-2013-Тр2-045_orig.jpg,Кроп-2013-Тр2-045,6521,2793,2.334765485141425,18213153
Кроп-2013-Тр2-049_orig.jpg,Кроп-2013-Тр2-049,5843,3612,1.6176633444075303,21104916
Кроп-2013-Тр2-050_orig.jpg,Кроп-2013-Тр2-050,7181,3078,2.3330084470435346,22103118
Кроп-2013-Тр2-053_orig.jpg,Кроп-2013-Тр2-053,3960,9454,0.41887031944150627,37437840
Нев11-Г0-005_orig.jpg,Нев11-Г0-005,7798,4280,1.8219626168224299,33375440
Нев11-Г0-006_orig.jpg,Нев11-Г0-006,8036,5439,1.4774774774774775,43707804
Нев11-Г02-009_orig.jpg,Нев11-Г02-009,7428,6378,1.1646284101599247,47375784
Нев11-Г02-010_orig.jpg,Нев11-Г02-010,5973,5796,1.0305383022774328,34619508
Нев11-Г02-012_orig.jpg,Нев11-Г02-012,6244,4062,1.5371738060068931,25363128
Нев11-Г02-021_orig.jpg,Нев11-Г02-021,8016,12215,0.6562423250102333,97915440
Нев11-Г02-022_orig.jpg,Нев11-Г02-022,6496,5600,1.16,36377600
Нев11-Г02-023_orig.jpg,Нев11-Г02-023,6220,8957,0.6944289382605783,55712540
Нев11-Г02-033_orig.jpg,Нев11-Г02-033,8732,5921,1.4747508866745482,51702172
Нев11-Г03-037_orig.jpg,Нев11-Г03-037,8240,11661,0.7066289340536832,96086640
Нев11-Г03-038_orig.jpg,Нев11-Г03-038,7864,4282,1.8365249883232135,33673648
Нев11-Г03-043_orig.jpg,Нев11-Г03-043,6189,8722,0.709584957578537,53980458
Нев11-Г03-044_orig.jpg,Нев11-Г03-044,7785,4199,1.8540128602048107,32689215
Нев11-Г03-058_orig.jpg,Нев11-Г03-058,6022,5528,1.0893632416787264,33289616
Нев11-Г03-096_orig.jpg,Нев11-Г03-096,6799,8289,0.8202436964651948,56356911
Нев11-Г03-097_orig.jpg,Нев11-Г03-097,10151,9139,1.1107342159973739,92769989
Нев11-Г03-178_orig.jpg,Нев11-Г03-178,10251,6066,1.6899109792284865,62182566
Нев11-Г03-181_orig.jpg,Нев11-Г03-181,11072,6463,1.713136314405075,71558336
Нев11-Г04-182_orig.jpg,Нев11-Г04-182,9704,2581,3.759783029833398,25046024
Нев11-Г04-185_orig.jpg,Нев11-Г04-185,11988,3802,3.1530773277222512,45578376
Нев11-Г04-187_orig.jpg,Нев11-Г04-187,10033,11184,0.897085121602289,112209072
Нев11-Г04-197_orig.jpg,Нев11-Г04-197,4720,4384,1.0766423357664234,20692480
Нев11-Г04А-210_orig.jpg,Нев11-Г04А-210,11234,3444,3.261904761904762,38689896
Нев11-Г05-055_orig.jpg,Нев11-Г05-055,11040,6821,1.6185310071836974,75303840
Нев11-Г05-056_orig.jpg,Нев11-Г05-056,12550,3304,3.7984261501210654,41465200
Нев11-Г05-228_orig.jpg,Нев11-Г05-228,10308,5916,1.7423935091277891,60982128
Нев11-Г05-235_orig.jpg,Нев11-Г05-235,9257,6669,1.3880641775378617,61734933
Нев11-под-001_orig.jpg,Нев11-под-001,8122,5806,1.3988976920427145,47156332
БП12-Г01-0726_orig.jpg,БП12-Г01-0726,1031,1920,0.5369791666666667,1979520
БП12-Г01-0732_orig.jpg,БП12-Г01-0732,1080,726,1.487603305785124,784080
БП12-Г01-0767_orig.jpg,БП12-Г01-0767,923,1920,0.48072916666666665,1772160
БП12-Г01-0774_orig.jpg,БП12-Г01-0774,1080,532,2.030075187969925,574560
БП12-Г01-0783_orig.jpg,БП12-Г01-0783,1080,1655,0.6525679758308157,1787400
БП12-Г01-0784_orig.jpg,БП12-Г01-0784,989,1920,0.5151041666666667,1898880
БП12-Г01-0794_orig.jpg,БП12-Г01-0794,830,1920,0.4322916666666667,1593600
БП12-Г01-0956_orig.jpg,БП12-Г01-0956,568,1920,0.29583333333333334,1090560
БП12-Г01-1007_orig.jpg,БП12-Г01-1007,1080,448,2.4107142857142856,483840
БП12-Г01-1008_orig.jpg,БП12-Г01-1008,1080,731,1.4774281805745555,789480
