epoch,lr,train_loss,val_loss,val_mean_macro_f1,train_acc_object_type,train_f1_object_type,val_acc_object_type,val_f1_object_type,train_acc_integrity,train_f1_integrity,val_acc_integrity,val_f1_integrity,train_acc_material_group,train_f1_material_group,val_acc_material_group,val_f1_material_group,train_acc_part_zone,train_f1_part_zone,val_acc_part_zone,val_f1_part_zone
1,0.00025606601717798207,0.2940797505078015,0.4189363063446113,0.06283908322022454,0.21758737316798196,0.1713516083194721,0.25225225225225223,0.05818181818181818,0.5648252536640361,0.44731455653701124,0.1036036036036036,0.09551010380197777,0.22322435174746336,0.1157130735302789,0.018018018018018018,0.0058997050147492625,0.21169354838709678,0.17065086164224785,0.29545454545454547,0.09176470588235294
2,0.00014999999999999996,0.24303283871294143,0.21515701045947416,0.20323550110077815,0.2750845546786922,0.23133664874341933,0.32882882882882886,0.197612242832878,0.6009019165727171,0.4760412494993993,0.40540540540540543,0.3736320109439124,0.22998872604284104,0.1438322723250521,0.018018018018018018,0.018405139833711264,0.2399193548387097,0.19603070506888956,0.26515151515151514,0.22329261079261084
3,4.393398282201787e-05,0.21582170609418336,0.22211395922516072,0.2689796294130336,0.2773393461104848,0.24374079663315737,0.26126126126126126,0.19966133971763472,0.6133032694475761,0.49594340482285015,0.7072072072072072,0.5432821648995094,0.14768883878241262,0.11207997201537385,0.2702702702702703,0.1348834569919517,0.2056451612903226,0.1948854593540085,0.26515151515151514,0.19809155604303852
4,0.0,0.17930458392108883,0.2110474899943386,0.2925198509493294,0.3269447576099211,0.2957561596556407,0.2972972972972973,0.24974758527390106,0.7080045095828635,0.5621005480104837,0.7117117117117117,0.5540489642184557,0.25817361894024804,0.17956267167771311,0.25225225225225223,0.11798324937159069,0.39314516129032256,0.3344272460618924,0.36363636363636365,0.24829960493337025
